LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESESIMP,
STR_EXPANSION_CEMENTMIXER_DESC,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,未准备好 - 不要翻译,
STR_EXPANSION_CEMENTMIXER_TANK,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,Réservoir de Bétonnière,Cement Mixer Tank,Cement Mixer Tank,Cement Mixer Tank,水泥搅拌罐,
STR_EXPANSION_CEMENTMIXER_TANK_DESC,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,未准备好 - 不要翻译,
STR_EXPANSION_CEMENTMIXER_MOTOR,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,Moteur de Bétonnière,Cement Mixer Motor,Cement Mixer Motor,Cement Mixer Motor,水泥搅拌机电机,
STR_EXPANSION_CEMENTMIXER_MOTOR_DESC,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,NOT READY - DO NOT TRANSLATE,未准备好 - 不要翻译,
STR_EXPANSION_SAFE,Safe,Safe,Trezor,Tresor,Сейф,Sejf,Széf,Cassaforte,Caja fuerte,Coffre-fort,安全,Cofre,金庫,安全,
STR_EXPANSION_LARGE_SAFE,Large Safe,Large Safe,Velký Trezor,Großer Tresor,Большой сейф,Duży Sejf,Nagy széf,Cassaforte Grande,Caja fuerte grande,Coffre-fort grand,非常安全,Cofre Grande,大型金庫,非常安全,
STR_EXPANSION_MINI_SAFE,Mini Safe,Mini Safe,Malý Trezor,Kleiner Tresor,Мини-сейф,Mały Sejf,Kis széf,Cassaforte Piccola,Caja fuerte pequeña,Coffre-fort petit,基本安全,Cofre Pequeno,小型金庫,基本安全,
STR_EXPANSION_MEDIUM_SAFE,Medium Safe,Medium Safe,Střední Trezor,Mittlerer Tresor,Средний сейф,Średni Sejf,Közepes széf,Cassaforte Media,Caja fuerte mediana,Coffre-fort moyen,中等安全,Cofre Médio,中型金庫,中等安全,
STR_EXPANSION_SAFE_DESC,A safe is a secure lockable box used for securing valuable objects against theft or damage.,A safe is a secure lockable box used for securing valuable objects against theft or damage.,"Trezor je zamykatelný kontejner, sloužící k uchování důležitých itemů",A safe is a secure lockable box used for securing valuable objects against theft or damage.,"Сейф - это надежный запираемый ящик, используемый для защиты ценных предметов от кражи или повреждения.",Sejf to bezpieczne zamykane pudełko służące do zabezpieczenia cennych przedmiotów przed kradzieżą lub uszkodzeniem.,A safe is a secure lockable box used for securing valuable objects against theft or damage.,Una cassaforte è una scatola chiudibile e blindata utilizzata per conservare e proteggere oggetti di valore da furti o urti.,"Una caja fuerter es un recipiente que protegerá todo aquello que este dentro, tambien esta protegido con combinación",Un coffre-fort est une boîte verrouillable sécurisée utilisée pour sécuriser des objets précieux contre le vol ou les dommages.,保險箱是一個安全的可上鎖的盒子，用於保護貴重物品不被盜竊或損壞。,Um cofre é uma caixa com fechadura segura usada para proteger objetos valiosos contra roubo ou dano.,A safe is a secure lockable box used for securing valuable objects against theft or damage.,保险箱是一个安全的可上锁的盒子，用于保护贵重物品不被盗窃或损坏。 ,
STR_EXPANSION_EXPS3,EOTech XPS3 Holo Sight,EOTech XPS3 Holo Sight,EOTech XPS3 Holo,EOTech XPS3 Holovisier,Голографический прицел EOTech XPS3,Celownik Holograficzny EOTech XPS3,EOTech XPS3 Holo Sight,Mirino Olografico EOTech XPS3,Mira holografica EOTech XPS3,Viseur EOTech XPS3,EOTech XPS3 全息瞄準鏡,EOTech XPS3 Holo Sight,EOTech XPS3 ホロサイト,EOTech XPS3 全息瞄准镜,
STR_EXPANSION_EXPS3_DESC,"The EOTech XPS3 Holo sight is a compact and lightweight holographic sight, allowing for quick target acquisition.","The EOTech XPS3 Holo sight is a compact and lightweight holographic sight, allowing for quick target acquisition.","Zaměřovač EOTech XPS3 Holo je kompaktní a lehký holografický zaměřovač, který umožňuje rychlé získání cíle.","Das EOTech XPS3 Holovisier ist ein kompaktes und leichtgewichtiges holografisches Visier, welches schnelle Zielerfassung ermöglicht.",Представляет собой компактный и лёгкий голографический прицел для быстрого наведения на цель.,"Celownik holograficzny EOTech XPS3 jest kompaktowym i lekkim celownikiem holograficznym, pozwalającym na szybkie dobieranie celu","Az EOTech XPS3 Holo sight kompakt és könnyű holografikus célirányzék, amely lehetővé teszi a gyors kiiktatást.",Il Mirino Olografico EOTech XPS3 è un mirino leggero e compatto che permette una rapida acquisizione del bersaglio.,"La mira EOTech XPS3 Holo es una mira holográfica compacta y liviana, que permite la adquisición rápida de objetivos.","Le viseur holographique EOTech XPS3 est un viseur holographique compact et léger, permettant une acquisition rapide de la cible.",EOTech XPS3 全息瞄準鏡是一種小巧輕便的全息瞄具，能夠快速發現目標。,"A mira EOTech XPS3 Holo é uma mira holográfica compacta e leve, permitindo rápida aquisição de alvos.
",EOTech XPS3 ホロサイトは小型かつ軽量のホログラフィックサイトで、速やかに策敵が可能です,EOTech XPS3 全息瞄准镜是一种小巧轻便的全息瞄具，能够快速发现目标。,
STR_EXPANSION_REFLEX,Walther MRS Sight,Walther MRS Sight,Walther MRS,Walther MRS Visier,Коллиматорный прицел Walther MRS,Celownik Walther MRS,Walther MRS Sight,Mirino Walther MRS,Mira Walther MRS,Viseur Walther MRS,Walther MRS 瞄準鏡,Walther MRS Sight,Walther MRS サイト,Walther MRS 瞄准镜,
STR_EXPANSION_REFLEX_DESC,"The Walther Multi-Reticle-System Sight is a non-magnified, battery powered optic that offeres several different reticle settings.","The Walther Multi-Reticle-System Sight is a non-magnified, battery powered optic that offers several different reticle settings.","Zaměřovač Walther Multi-Reticle-System Sight je optika bez zvětšení, napájená z baterie, která nabízí několik různých nastavení sítnice.","DasWalther Multi-Reticle-System Visier ist ein nichtvergrößerndes, batteriebetriebenes Visier, das verschiedene Fadenkreuzoptionen bietet.",Оптический прибор без увеличение с питанием от аккумулятора. Имеет несколько различных прицельных меток.,"Celownik Walther Multi-Reticle-System (System Z Wieloma Celownikami) jest nie powiększającym, zasilanym baterią celownikiem który oferuję wielę ustawień celowników.","A Walther Multi-Reticle-System Sight nem nagyított, akkumulátorral működő optika, amely számos különféle retikulus beállítást kínál.","Il Mirino Walther Multi Reticle System, è un mirino senza ingrandimento alimentato a batteria, che offre la possibiltà di scegliere tra diversi reticoli di mira.",Walther Multi-Reticle-System Sight es una óptica con batería no magnificada que ofrece varias configuraciones de retícula diferentes.,Le Walther Multi-Reticle-System Sight est une optique non grossie alimentée par batterie qui offre plusieurs réglages de réticules différents.,Walther MRS 瞄準鏡是一種需要電池驅動的瞄準鏡，他可以把瞄準區域劃分為不同部分。,"A Walther MRS é uma óptica não ampliada, alimentada por bateria, que oferece várias configurações diferentes de retículo.
",Walther マルチ・レティキュール・サイトは非望遠型電池式サイトで複数のレティキュールを選択できます,Walther MRS 瞄准镜是一种需要电池驱动的瞄准镜，他可以把瞄准区域划分为不同部分。,
STR_EXPANSION_HAMR,Leupold Mark 4 HAMR Scope,Leupold Mark 4 HAMR Scope,Leupold Mark 4 HAMR,Leupold Mark 4 HAMR Visier,Оптический прицел Leupold Mark 4 HAMR,Celownik Leupold Mark 4 HAMR,Leupold Mark 4 HAMR Távcső,Mirino Leupold Mark 4 HAMR,Mira Leupold Mark 4 HAMR,Viseur Leupold Mark 4 HAMR,HAMR 4 倍瞄準鏡,Leupold Mark 4 HAMR Scope,Leupold Mark 4 HAMR スコープ,HAMR 4 倍瞄准镜,
STR_EXPANSION_HAMR_DESC,"The HAMR is a scope offering 4x magnification, with the option to mount a Deltapoint optic on the top for close quarters combat.","The HAMR is a scope offering 4x magnification, with the option to mount a Deltapoint optic on the top for close quarters combat.","HAMR je rozsah nabízející 4x zvětšení, s možností připojení optiky Deltapoint na vrchol pro boj zblízka.","Das HAMR ist ein Visier mit 4x Vergrößerung, mit der Option ein Deltapoint Visier auf diesem zu befestigen.",Прицел с 4-х кратным увеличением. Возможна установка дополнительного прицела Deltapoint сверху для ближнего боя.,"Celownik HAMR jest celownikiem który oferuje 4x powiększenie, z opcją zamontowania celownika Deltapoint na szczycie celownika do bliskiej walki.","A HAMR egy 4X nagyítást kínáló távcső, azzal a lehetőséggel, hogy a Deltapoint optikát a fegyver tetejére szerelje a közvetlen harc során.","L' HAMR è un mirino con ingrandimento 4x, con l'opzione di montarvici sopra un ottica Deltapoint per combattimento ravvicinato.","El HAMR es un mira que ofrece un aumento de 4x, con la opción de montar una óptica Deltapoint en la parte superior para el combate cuerpo a cuerpo.
","Le HAMR est une lunette offrant un grossissement 4x, avec la possibilité de monter une optique Deltapoint sur le dessus pour le combat rapproché.",HAMR 4 倍瞄準鏡擁有4倍放大視野，可以在頂部安裝三角光學系統用於近距離作戰。,"O HAMR é um escopo que oferece ampliação de 4x, com a opção de montar uma óptica Deltapoint no topo para combate de perto.
",HAMR スコープは4倍望遠式サイトです。上部に Deltapoint サイトを装着すると近距離サイトにも切り替えて使用が可能なため近距離戦にも適します。,HAMR 4 倍瞄准镜拥有4倍放大视野，可以在顶部安装三角光学系统用于近距离作战。,
STR_EXPANSION_DELTAPOINT,Leupold Deltapoint Reflex Sight,Leupold Deltapoint Reflex Sight,Leupold Deltapoint,Leupold Deltapoint Reflexvisier,Коллиматорный прицел Leupold Deltapoint,Celownik Wzrokowy Leupold Deltapoint,Leupold Deltapoint Reflex Sight,Mirino Reflex Leupold Deltapoint,Mira Leupold Deltapoint Reflex,Viseur Leupold Deltapoint Reflex Sight,Leupold Deltapoint 反射瞄準鏡,Leupold Deltapoint Reflex Sight,Leupold Deltapoint リフレクス・サイト,Leupold Deltapoint 反射瞄准镜,
STR_EXPANSION_DELTAPOINT_DESC,"The Deltapoint has a wide range of use, and can be mounted on several shotguns, pistols, and the HAMR sight. ","The Deltapoint has a wide range of use, and can be mounted on several shotguns, pistols, and the HAMR sight. ","Deltapoint má široké využití a lze jej namontovat na několik brokovnic, pistolí a zaměřovačů HAMR.","Das Deltapoint ist ein breites Einsatzspektrum und kann auf verschiedene Schrotflinten, Pistolen sowie auf dem HAMR Visier genutzt werden.","Имеет широкий спектр применения и может устанавливаться на несколько дробовиков, пистолетов и прицел HAMR.","Deltapoint posiada szeroki zasięg użycia, ponieważ może być zamontowany na wiele strzelb, pistoletów, oraz celownik HAMR. ","A Deltapoint széles körű felhasználást kínál, és többféle shotgunra, pisztolyra és a HAMR célirányzékra is felszerelhető.","Il Deltapoint ha un ampio bagaglio di utilizzi, può essere montato su diversi fucili a pompa, pistole e sull'ottica HAMR.","El Deltapoint tiene una amplia gama de usos y puede montarse en varias escopetas, pistolas y la mira HAMR.
","Le Deltapoint a une large gamme d'utilisation et il peut être monté sur plusieurs fusils de chasse, pistolets et viseur HAMR.",是一種常用的近距離三角光學瞄準系統，可以安裝在HAMR上,"The Deltapoint has a wide range of use, and can be mounted on several shotguns, pistols, and the HAMR sight. ",Deltapoint サイトの用途は幅広く、拳銃、ショットガン、及び HAMR サイトにも装着可能です,是一种常用的近距离三角光学瞄准系统，可以安装在HAMR上,
STR_EXPANSION_BRAVO4,Sig Bravo4 Scope,Sig Bravo4 Scope,Sig Bravo4,Sig Bravo4 Visier,Оптический прицел Sig Bravo4,Celownik Sig Bravo4,Sig Bravo4 Scope,Mirino Sig Bravo4,Mira Sig Bravo4,Viseur Sig Bravo4,Sig Bravo4 瞄準鏡,Sig Bravo4 Scope,Sig Bravo4 スコープ,Sig Bravo4 瞄准镜,
STR_EXPANSION_BRAVO4_DESC,The Bravo4 is a 4x magnifcation scope known for its high field of view compared to other similar scopes. It features a rail on top with the ability to affix a backup sight.,The Bravo4 is a 4x magnifcation scope known for its high field of view compared to other similar scopes. It features a rail on top with the ability to affix a backup sight.,Bravo4 je 4x zvětšení rozsahu známé pro své vysoké zorné pole ve srovnání s jinými podobnými rozsahy. Je vybaven kolejnicí nahoře se schopností připojit záložní pohled.,Das Bravo4 ist ein Visier mit 4x Vergrößerung und ist bekannt für das breite Sichtfeld im Vergleich zu anderen Visieren. Es hat eine Schiene um ein weiteres Visier zu befestigen.,4-х кратный оптический прицел известный своим большим полем обзора в сравнении с другими прицелами. Оснащён направляющей сверзу для крепления дополнительного прицела.,"Bravo4 jest celownikiem z 4x powiększeniem, znany za jego szerokie pole widzenia w porównaniu z innymi podobnymi celownikami. Posiada on również szyny na których można zamontować dodatkowy celownik.","A Bravo4 egy 4X nagyítással rendelkező távcső, amely ismert magas látómezővel rendelkezik, más távcsövekhez képest. A tetején sín található, azzal a képességgel, hogy teljesen testreszabhatóan rögzíthető a legjobb célpont kiiktatás érdekében.","Il Bravo4 è un mirino con Ingrandimento 4x, conosciuto per il suo ampio campo visivo rispetto a modelli simili. Include un rail sulla parte superiore con la possibilità di innesto di un mirino aggiuntivo.","El Bravo4 es un alcance de magnificación 4x conocido por su alto campo de visión en comparación con otros ámbitos similares. Cuenta con un riel en la parte superior con la capacidad de colocar una mira de respaldo.
",Le Bravo4 est une lunette de grossissement 4x connue pour son champ de vision élevé par rapport à d'autres lunettes similaires. Il dispose d'un rail sur le dessus avec la possibilité d'apposer un viseur de secours.,Sig Bravo4 瞄準鏡是一個廣角4倍光學瞄准設備，特點是頂部備有有設備點可以安裝其他近距離瞄準鏡。,"O Bravo4 é um escopo de ampliação de 4x conhecido por seu alto campo de visão em comparação com outros escopos semelhantes. Possui um trilho na parte superior com a capacidade de fixar uma mira de backup.
",Sig Bravo4 スコープは4倍望遠の上、視野が広く見える評判を持ち、さらにバックアップとして小型サイトを装着可能です,Sig Bravo4 瞄准镜是一个广角4倍光学瞄准设备，特点是顶部备有有设备点可以安装其他近距离瞄准镜。,
